keys,ru,en,fr,it,de,es,pt_br,uk,ja,ko,zh_tw,ar,nl,id,hi,tr,zh_cn,th,vi,pl
"«文A» — готова к переводу, «…» — идёт распознавание, «✕» — перевод показан, касание уберёт его. Кнопку можно перетаскивать; на время снимка она прячется и в кадр не попадает. Размер и прозрачность настраиваются во вкладке «Настройки».","«文A» — готова к переводу, «…» — идёт распознавание, «✕» — перевод показан, касание уберёт его. Кнопку можно перетаскивать; на время снимка она прячется и в кадр не попадает. Размер и прозрачность настраиваются во вкладке «Настройки».","“文A” — ready to translate, “…” — recognizing, “✕” — translation shown, tap to hide it. The button can be dragged; it hides itself during capture and never appears in the shot. Size and opacity are set in the Settings tab.","« 文A » — prêt pour la traduction, « … » — reconnaissance en cours, « ✕ » — la traduction est affichée, la toucher la supprimera. Le bouton peut être glissé ; Pendant toute la durée de la photo, elle se cache et n'apparaît pas dans le cadre. La taille et la transparence peuvent être ajustées dans l'onglet Paramètres.","“文A” — pronto per la traduzione, “…” — riconoscimento in corso, “✕” — viene mostrata la traduzione, toccandola verrà rimossa. Il pulsante può essere trascinato; Per tutta la durata della foto si nasconde e non appare nell'inquadratura. Le dimensioni e la trasparenza possono essere regolate nella scheda Impostazioni.","„文A“ – bereit zur Übersetzung, „…“ – Erkennung läuft, „✕“ – Übersetzung wird angezeigt, durch Berühren wird sie entfernt. Die Schaltfläche kann gezogen werden; Für die Dauer des Fotos versteckt sie sich und erscheint nicht im Bild. Größe und Transparenz können im Reiter „Einstellungen“ angepasst werden.","""文A"" - listo para traducción, ""..."" - reconocimiento en progreso, ""✕"" - se muestra la traducción, al tocarla se eliminará. El botón se puede arrastrar; Mientras dura la foto, ella se esconde y no aparece en el marco. El tamaño y la transparencia se pueden ajustar en la pestaña Configuración.","“文A” — pronto para tradução, “…” — reconhecimento em andamento, “✕” — a tradução é mostrada, tocá-la irá removê-la. O botão pode ser arrastado; Durante a foto, ela se esconde e não aparece no enquadramento. O tamanho e a transparência podem ser ajustados na guia Configurações.","""文A"" - готова до перекладу, ""..."" - йде розпізнавання, ""✕"" - переклад показаний, дотик прибере його. Кнопку можна перетягувати; на час знімку вона ховається і до кадру не потрапляє. Розмір та прозорість налаштовуються у вкладці «Налаштування».",「文A」 — 翻訳準備完了、「…」 — 認識中、「✕」 — 翻訳が表示されており、タッチすると翻訳が削除されます。ボタンはドラッグできます。写真の間、彼女は隠れてフレームに現れません。サイズと透明度は「設定」タブで調整できます。,"""文A"" - 번역 준비 완료, ""..."" - 인식 진행 중, ""✕"" - 번역이 표시되며, 터치하면 제거됩니다. 버튼을 드래그할 수 있습니다. 사진이 진행되는 동안 그녀는 프레임에 숨어서 나타나지 않습니다. 설정 탭에서 크기와 투명도를 조정할 수 있습니다.",「文A」 - 準備翻譯，「...」 - 正在進行識別，「✕」 - 顯示翻譯，觸摸它會將其刪除。按鈕可以拖曳；在照片拍攝期間，她隱藏起來，沒有出現在畫面中。可以在「設定」標籤中調整大小和透明度。,"""文A"" - جاهز للترجمة، ""..."" - التعرف قيد التقدم، ""✕"" - تظهر الترجمة، سيؤدي لمسها إلى إزالتها. يمكن سحب الزر. طوال مدة الصورة، تختبئ ولا تظهر في الإطار. يمكن تعديل الحجم والشفافية في علامة التبويب ""الإعدادات"".","“文A” — gereed voor vertaling, “...” — herkenning wordt uitgevoerd, “✕” — de vertaling wordt getoond. Als u deze aanraakt, wordt deze verwijderd. De knop kan worden versleept; Gedurende de hele foto verbergt ze zich en verschijnt ze niet in het kader. Grootte en transparantie kunnen worden aangepast op het tabblad Instellingen.","“文A” — siap untuk diterjemahkan, “…” — pengenalan sedang berlangsung, “✕” — terjemahan ditampilkan, menyentuhnya akan menghapusnya. Tombolnya bisa diseret; Selama berfoto, dia bersembunyi dan tidak muncul di bingkai. Ukuran dan transparansi dapat disesuaikan di tab Pengaturan.","""文ए"" - अनुवाद के लिए तैयार, ""..."" - पहचान प्रगति पर है, ""✕"" - अनुवाद दिखाया गया है, इसे छूने से यह हट जाएगा। बटन को खींचा जा सकता है; फोटो की पूरी अवधि के लिए, वह छुपी रहती है और फ्रेम में दिखाई नहीं देती है। आकार और पारदर्शिता को सेटिंग टैब में समायोजित किया जा सकता है।","“文A” — çeviri için hazır, “…” — tanıma işlemi sürüyor, “✕” — çeviri gösterilir, ona dokunulduğunda çeviri kaldırılır. Düğme sürüklenebilir; Fotoğraf süresince gizlenir ve çerçevede görünmez. Boyut ve şeffaflık Ayarlar sekmesinden ayarlanabilir.",“文A” - 准备翻译，“...” - 正在进行识别，“✕” - 显示翻译，触摸它会将其删除。按钮可以拖动；在照片拍摄期间，她隐藏起来，没有出现在画面中。可以在“设置”选项卡中调整大小和透明度。,“文A” — พร้อมสำหรับการแปล “…” — อยู่ระหว่างการจดจำ “✕” — การแสดงคำแปล หากแตะจะเป็นการลบออก สามารถลากปุ่มได้ เธอซ่อนตัวและไม่ปรากฏในเฟรมตลอดระยะเวลาที่ถ่ายภาพ ขนาดและความโปร่งใสสามารถปรับเปลี่ยนได้ในแท็บการตั้งค่า,"“文A” — sẵn sàng dịch, “…” — đang tiến hành nhận dạng, “✕” — bản dịch được hiển thị, chạm vào nó sẽ xóa nó. Nút có thể được kéo; Trong suốt thời gian chụp ảnh, cô ấy ẩn mình và không xuất hiện trong khung hình. Kích thước và độ trong suốt có thể được điều chỉnh trong tab Cài đặt.","„文A” — gotowe do tłumaczenia, „…” — rozpoznawanie w toku, „✕” — wyświetla się tłumaczenie, dotknięcie go spowoduje jego usunięcie. Przycisk można przeciągnąć; Na czas trwania zdjęcia ukrywa się i nie pojawia się w kadrze. Rozmiar i przezroczystość można dostosować w zakładce Ustawienia."
Если что-то не работает,Если что-то не работает,Troubleshooting,Si quelque chose ne fonctionne pas,Se qualcosa non funziona,Wenn etwas nicht funktioniert,Si algo no funciona,Se algo não funcionar,Якщо щось не працює,何かがうまくいかない場合,뭔가 작동하지 않는 경우,如果有什麼不起作用,إذا كان هناك شيء لا يعمل,Als iets niet werkt,Jika ada sesuatu yang tidak berhasil,अगर कुछ काम नहीं करता,Bir şey işe yaramazsa,如果有什么不起作用,หากบางอย่างใช้งานไม่ได้,Nếu có điều gì đó không hiệu quả,Jeśli coś nie działa
"• Кнопка не появляется — выдайте разрешение «Поверх других приложений» (кнопка на главной).
• Android не спрашивает про запись экрана — остановите и запустите оверлей заново.
• Текст не находится — выберите письменность оригинала в настройках (латиница, китайский, японский, корейский).
• Перевод странный — переключитесь на нейросетевой движок (Claude, Gemini, ChatGPT…) или очистите кэш переводов во вкладке «Ещё».
• Игра съедает кнопку в полноэкранном режиме — проведите от края экрана, чтобы показать системные панели.","• Кнопка не появляется — выдайте разрешение «Поверх других приложений» (кнопка на главной).
• Android не спрашивает про запись экрана — остановите и запустите оверлей заново.
• Текст не находится — выберите письменность оригинала в настройках (латиница, китайский, японский, корейский).
• Перевод странный — переключитесь на нейросетевой движок (Claude, Gemini, ChatGPT…) или очистите кэш переводов во вкладке «Ещё».
• Игра съедает кнопку в полноэкранном режиме — проведите от края экрана, чтобы показать системные панели.","• The button does not appear — grant the “Draw over other apps” permission (button on the Home tab).
• Android does not ask about screen capture — stop and start the overlay again.
• No text is found — pick the source script in Settings (Latin, Chinese, Japanese, Korean).
• The translation looks odd — switch to an LLM engine (Claude, Gemini, ChatGPT…) or clear the translation cache in the More tab.
• The game hides the button in full-screen mode — swipe from the screen edge to reveal the system bars.","• Le bouton n'apparaît pas - accordez l'autorisation « Au-dessus des autres applications » (bouton sur l'application principale).
• Android ne demande pas d'enregistrement d'écran - arrêtez et redémarrez la superposition.
• Le texte est introuvable - sélectionnez l'écriture originale dans les paramètres (latin, chinois, japonais, coréen).
• La traduction est étrange - passez à un moteur de réseau neuronal (Claude, Gemini, ChatGPT...) ou videz le cache de traduction dans l'onglet « Plus ».
• Le jeu mange le bouton en mode plein écran - faites glisser votre doigt depuis le bord de l'écran pour afficher les barres système.","• Il pulsante non viene visualizzato: concedi l'autorizzazione “Sopra le altre applicazioni” (pulsante su quella principale).
• Android non chiede informazioni sulla registrazione dello schermo: interrompe e riavvia l'overlay.
• Il testo non è stato trovato: seleziona la scrittura originale nelle impostazioni (latino, cinese, giapponese, coreano).
• La traduzione è strana: passa a un motore di rete neurale (Claude, Gemini, ChatGPT...) o svuota la cache della traduzione nella scheda ""Altro"".
• Il gioco mangia il pulsante in modalità a schermo intero: scorri dal bordo dello schermo per mostrare le barre di sistema.","• Die Schaltfläche wird nicht angezeigt. Erteilen Sie die Berechtigung „Zusätzlich zu anderen Anwendungen“ (Schaltfläche in der Hauptanwendung).
• Android fragt nicht nach der Bildschirmaufzeichnung – stoppen Sie das Overlay und starten Sie es erneut.
• Der Text wurde nicht gefunden – wählen Sie in den Einstellungen die Originalschrift aus (Latein, Chinesisch, Japanisch, Koreanisch).
• Die Übersetzung ist seltsam – wechseln Sie zu einer neuronalen Netzwerk-Engine (Claude, Gemini, ChatGPT...) oder leeren Sie den Übersetzungs-Cache auf der Registerkarte „Mehr“.
• Das Spiel frisst die Schaltfläche im Vollbildmodus – wischen Sie vom Rand des Bildschirms, um die Systemleisten anzuzeigen.","• No aparece el botón - conceder permiso “Encima de otras aplicaciones” (botón en la principal).
• Android no pregunta sobre la grabación de pantalla: detenga e inicie la superposición nuevamente.
• No se encuentra el texto: seleccione la escritura original en la configuración (latín, chino, japonés, coreano).
• La traducción es extraña: cambie a un motor de red neuronal (Claude, Gemini, ChatGPT...) o borre el caché de traducción en la pestaña ""Más"".
• El juego come el botón en modo de pantalla completa: desliza el dedo desde el borde de la pantalla para mostrar las barras del sistema.","• O botão não aparece - conceda permissão “Em cima de outros aplicativos” (botão no principal).
• O Android não pergunta sobre a gravação de tela – pare e reinicie a sobreposição.
• O texto não foi encontrado - selecione a escrita original nas configurações (latim, chinês, japonês, coreano).
• A tradução está estranha - mude para um mecanismo de rede neural (Claude, Gemini, ChatGPT...) ou limpe o cache de tradução na aba “Mais”.
• O jogo usa o botão no modo de tela cheia - deslize a partir da borda da tela para mostrar as barras do sistema.","• Кнопка не з'являється — видайте розділ «Поверх інших програм» (кнопка на головній).
• Android не запитує про запис екрана – зупиніть та запустіть оверлей заново.
• Текст не міститься — Виберіть оригінал у налаштуваннях (латиниця, китайська, японська, корейська).
• Переклад дивний — перейдіть на нейромережевий двигун (Claude, Gemini, ChatGPT…) або очистіть кеш перекладів у вкладці «Ще».
• Гра з'їдає кнопку в повноекранному режимі — проведіть від краю екрана, щоб відобразити системні панелі.","• ボタンは表示されません - 「他のアプリケーションの上に」権限を付与します (メインアプリケーションのボタン)。
• Android は画面録画について質問しません。オーバーレイを停止してから再度開始します。
• テキストが見つかりません - 設定で元のスクリプトを選択します (ラテン語、中国語、日本語、韓国語)。
• 翻訳がおかしい - ニューラル ネットワーク エンジン (Claude、Gemini、ChatGPT...) に切り替えるか、「その他」タブで翻訳キャッシュをクリアします。
• 全画面モードではゲームがボタンを使用します。画面の端からスワイプしてシステム バーを表示します。","• 버튼이 표시되지 않습니다. ""다른 애플리케이션 위에"" 권한을 부여합니다(기본 애플리케이션의 버튼).
• Android는 화면 녹화에 관해 묻지 않습니다. 오버레이를 중지했다가 다시 시작하세요.
• 텍스트를 찾을 수 없습니다. 설정에서 원본 스크립트(라틴어, 중국어, 일본어, 한국어)를 선택하세요.
• 번역이 이상합니다. 신경망 엔진(Claude, Gemini, ChatGPT...)으로 전환하거나 '더보기' 탭에서 번역 캐시를 삭제하세요.
• 게임은 전체 화면 모드에서 버튼을 사용합니다. 화면 가장자리에서 스와이프하면 시스템 표시줄이 표시됩니다.","• 按鈕不出現 - 授予「在其他應用程式之上」權限（主應用程式上的按鈕）。
• Android 不會詢問螢幕錄製 - 停止並再次啟動覆蓋。
• 未找到文字- 在設定中選擇原始腳本（拉丁文、中文、日文、韓文）。
• 翻譯很奇怪- 切換到神經網路引擎（Claude、Gemini、ChatGPT...）或清除「更多」標籤中的翻譯快取。
• 遊戲在全螢幕模式下佔用按鈕 - 從螢幕邊緣滑動以顯示系統列。","• لا يظهر الزر - امنح الإذن ""فوق التطبيقات الأخرى"" (الزر الموجود على الزر الرئيسي).
• لا يسأل Android عن تسجيل الشاشة - أوقف التراكب وابدأ تشغيله مرة أخرى.
• لم يتم العثور على النص - حدد النص الأصلي في الإعدادات (اللاتينية والصينية واليابانية والكورية).
• الترجمة غريبة - قم بالتبديل إلى محرك الشبكة العصبية (Claude، Gemini، ChatGPT...) أو امسح ذاكرة التخزين المؤقت للترجمة في علامة التبويب ""المزيد"".
• تأكل اللعبة الزر في وضع ملء الشاشة - اسحب من حافة الشاشة لإظهار أشرطة النظام.","• De knop verschijnt niet - geef toestemming ""Bovenop andere applicaties"" (knop op de hoofdapplicatie).
• Android vraagt ​​niet naar schermopname - stop en start de overlay opnieuw.
• De tekst is niet gevonden - selecteer het originele script in de instellingen (Latijn, Chinees, Japans, Koreaans).
• De vertaling is vreemd - schakel over naar een neurale netwerkengine (Claude, Gemini, ChatGPT...) of wis de vertaalcache op het tabblad ""Meer"".
• Het spel eet de knop op in volledig schermmodus: veeg vanaf de rand van het scherm om de systeembalken weer te geven.","• Tombol tidak muncul - berikan izin “Di atas aplikasi lain” (tombol di aplikasi utama).
• Android tidak menanyakan tentang perekaman layar - hentikan dan mulai overlay lagi.
• Teks tidak ditemukan - pilih skrip asli di pengaturan (Latin, Cina, Jepang, Korea).
• Terjemahannya aneh - beralih ke mesin jaringan saraf (Claude, Gemini, ChatGPT...) atau kosongkan cache terjemahan di tab “Lainnya”.
• Permainan memakan tombol dalam mode layar penuh - geser dari tepi layar untuk menampilkan bilah sistem.","• बटन दिखाई नहीं देता - अनुमति प्रदान करें ""अन्य अनुप्रयोगों के शीर्ष पर"" (मुख्य पर बटन)।
• एंड्रॉइड स्क्रीन रिकॉर्डिंग के बारे में नहीं पूछता - रोकें और ओवरले फिर से शुरू करें।
• पाठ नहीं मिला - सेटिंग्स में मूल स्क्रिप्ट का चयन करें (लैटिन, चीनी, जापानी, कोरियाई)।
• अनुवाद अजीब है - न्यूरल नेटवर्क इंजन (क्लाउड, जेमिनी, चैटजीपीटी...) पर स्विच करें या ""अधिक"" टैब में अनुवाद कैश साफ़ करें।
• गेम पूर्ण स्क्रीन मोड में बटन खाता है - सिस्टम बार दिखाने के लिए स्क्रीन के किनारे से स्वाइप करें।","• Düğme görünmüyor - “Diğer uygulamaların üstünde” iznini verin (ana uygulamadaki düğme).
• Android ekran kaydı hakkında soru sormaz - kaplamayı durdurun ve yeniden başlatın.
• Metin bulunamadı - ayarlardan orijinal yazı tipini seçin (Latince, Çince, Japonca, Korece).
• Çeviri tuhaf - bir sinir ağı motoruna (Claude, Gemini, ChatGPT...) geçin veya ""Diğer"" sekmesinde çeviri önbelleğini temizleyin.
• Oyun tam ekran modunda düğmeyi yer; sistem çubuklarını göstermek için ekranın kenarından kaydırın.","• 按钮不出现 - 授予“在其他应用程序之上”权限（主应用程序上的按钮）。
• Android 不会询问屏幕录制 - 停止并再次启动覆盖。
• 未找到文本- 在设置中选择原始脚本（拉丁文、中文、日文、韩文）。
• 翻译很奇怪- 切换到神经网络引擎（Claude、Gemini、ChatGPT...）或清除“更多”选项卡中的翻译缓存。
• 游戏在全屏模式下占用按钮 - 从屏幕边缘滑动以显示系统栏。","• ปุ่มไม่ปรากฏขึ้น - ให้สิทธิ์ ""เหนือแอปพลิเคชันอื่น"" (ปุ่มบนแอปพลิเคชันหลัก)
• Android ไม่ถามเกี่ยวกับการบันทึกหน้าจอ - หยุดและเริ่มการซ้อนทับอีกครั้ง
• ไม่พบข้อความ - เลือกสคริปต์ต้นฉบับในการตั้งค่า (ละติน จีน ญี่ปุ่น เกาหลี)
• การแปลแปลก - เปลี่ยนไปใช้เอ็นจิ้นเครือข่ายประสาทเทียม (Claude, Gemini, ChatGPT...) หรือล้างแคชการแปลในแท็บ ""เพิ่มเติม""
• เกมกินปุ่มในโหมดเต็มหน้าจอ - ปัดจากขอบหน้าจอเพื่อแสดงแถบระบบ","• Nút không xuất hiện - cấp quyền “Trên đầu các ứng dụng khác” (nút trên ứng dụng chính).
• Android không hỏi về việc ghi màn hình - hãy dừng và bắt đầu lại lớp phủ.
• Không tìm thấy văn bản - chọn tập lệnh gốc trong cài đặt (tiếng Latinh, tiếng Trung, tiếng Nhật, tiếng Hàn).
• Bản dịch lạ - chuyển sang công cụ mạng thần kinh (Claude, Gemini, ChatGPT...) hoặc xóa bộ nhớ đệm bản dịch trong tab “Thêm”.
• Trò ​​chơi ăn nút ở chế độ toàn màn hình - vuốt từ mép màn hình để hiển thị thanh hệ thống.","• Przycisk nie pojawia się - przyznaj uprawnienia „Nad innymi aplikacjami” (przycisk na głównym).
• Android nie pyta o nagrywanie ekranu - zatrzymaj i uruchom nakładkę ponownie.
• Tekst nie został znaleziony – wybierz w ustawieniach oryginalny skrypt (łaciński, chiński, japoński, koreański).
• Tłumaczenie jest dziwne - przełącz się na silnik sieci neuronowej (Claude, Gemini, ChatGPT...) lub wyczyść pamięć podręczną tłumaczeń w zakładce „Więcej”.
• Gra zjada przycisk w trybie pełnoekranowym – przesuń palcem od krawędzi ekranu, aby wyświetlić paski systemowe."
Настройки,Настройки,Settings,Paramètres,Impostazioni,Einstellungen,Configuración,Configurações,Налаштування,設定,설정,設定,الإعدادات,Instellingen,Pengaturan,सेटिंग्स,Ayarlar,设置,การตั้งค่า,Cài đặt,Ustawienia
"Перевод, движок, вид оверлея и плавающая кнопка","Перевод, движок, вид оверлея и плавающая кнопка","Translation, engine, overlay look and the floating button","Traduction, moteur, vue superposée et bouton flottant","Traduzione, motore, visualizzazione sovrapposta e pulsante mobile","Übersetzung, Engine, Overlay-Ansicht und schwebende Schaltfläche","Traducción, motor, vista superpuesta y botón flotante","Tradução, mecanismo, visualização de sobreposição e botão flutuante","Переклад, двигун, вид оверлею та плаваюча кнопка",翻訳、エンジン、オーバーレイ ビュー、フローティング ボタン,"번역, 엔진, 오버레이 보기 및 플로팅 버튼",翻譯、引擎、疊加視圖和浮動按鈕,الترجمة والمحرك وعرض التراكب والزر العائم,"Vertaling, engine, overlayweergave en zwevende knop","Terjemahan, mesin, tampilan overlay, dan tombol mengambang","अनुवाद, इंजन, ओवरले दृश्य और फ़्लोटिंग बटन","Çeviri, motor, yer paylaşımı görünümü ve kayan düğme",翻译、引擎、叠加视图和浮动按钮,การแปล กลไก มุมมองซ้อนทับ และปุ่มลอย,"Bản dịch, công cụ, chế độ xem lớp phủ và nút nổi","Tłumaczenie, silnik, widok nakładki i pływający przycisk"
Письменность оригинала (модель распознавания),Письменность оригинала (модель распознавания),Source script (recognition model),Script original (modèle de reconnaissance),Scrittura originale (modello di riconoscimento),Originalskript (Erkennungsmodell),Guión original (modelo de reconocimiento),Roteiro original (modelo de reconhecimento),Письмість оригіналу (модель розпізнавання),オリジナルスクリプト（認識モデル）,원본 스크립트(인식 모델),原始腳本（辨識模型）,النص الأصلي (نموذج التعرف),Origineel script (herkenningsmodel),Naskah asli (model pengenalan),मूल स्क्रिप्ट (मान्यता मॉडल),Orijinal komut dosyası (tanıma modeli),原始脚本（识别模型）,สคริปต์ต้นฉบับ (แบบจำลองการจดจำ),Tập lệnh gốc (mô hình nhận dạng),Skrypt oryginalny (model rozpoznawania)
Движок перевода,Движок перевода,Translation engine,Moteur de traduction,Motore di traduzione,Übersetzungsmaschine,Motor de traducción,Mecanismo de tradução,Двигун перекладу,翻訳エンジン,번역 엔진,翻譯引擎,محرك الترجمة,Vertaalmachine,Mesin terjemahan,अनुवाद इंजन,Çeviri motoru,翻译引擎,เครื่องมือการแปล,Công cụ dịch thuật,Silnik tłumaczeniowy
Сохранить,Сохранить,Save,Enregistrer,Salva,Speichern,Guardar,Salvar,Зберегти,保存,저장,儲存,حفظ,Opslaan,Simpan,सहेजें,Kaydet,保存,บันทึก,Lưu,Zapisz
Вид перевода,Вид перевода,Translation look,Type de transfert,Tipo di trasferimento,Art der Übertragung,Tipo de transferencia,Tipo de transferência,Вид перекладу,転送の種類,환승 유형,轉讓類型,نوع النقل,Soort overdracht,Jenis pemindahan,स्थानांतरण का प्रकार,Transfer türü,转让类型,ประเภทการโอน,Loại chuyển khoản,Rodzaj przelewu
Скрывать перевод автоматически,Скрывать перевод автоматически,Hide translation automatically,Masquer automatiquement la traduction,Nascondi automaticamente la traduzione,Übersetzung automatisch ausblenden,Ocultar traducción automáticamente,Ocultar tradução automaticamente,Приховувати переклад автоматично,翻訳を自動的に非表示にする,자동으로 번역 숨기기,自動隱藏翻譯,إخفاء الترجمة تلقائيا,Verberg vertaling automatisch,Sembunyikan terjemahan secara otomatis,अनुवाद स्वचालित रूप से छिपाएँ,Çeviriyi otomatik olarak gizle,自动隐藏翻译,ซ่อนการแปลโดยอัตโนมัติ,Ẩn bản dịch tự động,Ukryj tłumaczenie automatycznie
Подложка под переводом,Подложка под переводом,Translation background,Substrat sous la traduction,Substrato sotto la traduzione,Substrat unter der Übersetzung,Sustrato bajo la traducción.,Substrato sob a tradução,Підкладка під перекладом,翻訳中の基板,번역 중인 기판,翻譯下的基板,الركيزة تحت الترجمة,Substraat onder de vertaling,Substrat di bawah terjemahan,अनुवाद के अंतर्गत सब्सट्रेट,Çeviri altındaki alt tabaka,翻译下的基板,พื้นผิวภายใต้การแปล,Chất nền dưới bản dịch,Podłoże pod tłumaczeniem
Размер шрифта перевода,Размер шрифта перевода,Translation font size,Taille de la police de traduction,Dimensione del carattere di traduzione,Schriftgröße der Übersetzung,Tamaño de fuente de traducción,Tamanho da fonte da tradução,Розмір шрифту перекладу,翻訳フォントサイズ,번역 글꼴 크기,翻譯字體大小,حجم خط الترجمة,Lettergrootte van vertaling,Ukuran font terjemahan,अनुवाद फ़ॉन्ट आकार,Çeviri yazı tipi boyutu,翻译字体大小,ขนาดตัวอักษรการแปล,Cỡ chữ dịch,Rozmiar czcionki tłumaczenia
Размер кнопки,Размер кнопки,Button size,Taille du bouton,Dimensione del pulsante,Knopfgröße,Tamaño del botón,Tamanho do botão,Розмір кнопки,ボタンのサイズ,버튼 크기,連結尺寸,حجم الزر,Knoopgrootte,Ukuran tombol,बटन का आकार,Düğme boyutu,纽扣尺寸,ขนาดปุ่ม,Kích thước nút,Rozmiar przycisku
Прозрачность в покое,Прозрачность в покое,Idle opacity,La transparence au repos,Trasparenza a riposo,Transparenz im Ruhezustand,Transparencia en reposo,Transparência em repouso,Прозорість у спокої,静止時の透明性,정지 상태의 투명성,靜止時的透明度,الشفافية في الراحة,Transparantie in rust,Transparansi saat istirahat,विश्राम में पारदर्शिता,Dinlenme sırasında şeffaflık,静止时的透明度,ความโปร่งใสในการพักผ่อน,Độ trong suốt ở trạng thái nghỉ,Przejrzystość w stanie spoczynku
Вернуть кнопку на место,Вернуть кнопку на место,Reset button position,Remettez le bouton en place,Rimetti il pulsante a posto,Setzen Sie den Knopf wieder ein,Vuelva a colocar el botón en su lugar,Coloque o botão de volta no lugar,Повернути кнопку на місце,ボタンを元の位置に戻します,버튼을 다시 제자리에 놓으십시오.,將按鈕放回原位,أعد الزر إلى مكانه,Plaats de knop terug op zijn plaats,Pasang kembali tombol pada tempatnya,बटन को वापस अपनी जगह पर रखें,Düğmeyi tekrar yerine yerleştirin,将按钮放回原位,ใส่ปุ่มกลับเข้าที่,Đặt nút trở lại vị trí,Umieść przycisk z powrotem na swoim miejscu
Ещё,Ещё,More,Plus,Di più,Mehr,Más,Mais,Ще,もっと見る,더보기,更多,المزيد,Meer,Lebih lanjut,अधिक,Daha Fazla,更多,เพิ่มเติม,Thêm,Więcej
"О приложении, язык интерфейса, ссылки и данные","О приложении, язык интерфейса, ссылки и данные","About the app, interface language, links and data","À propos de l'application, de la langue de l'interface, des liens et des données","Informazioni sull'applicazione, sulla lingua dell'interfaccia, sui collegamenti e sui dati","Über die Anwendung, Oberflächensprache, Links und Daten","Sobre la aplicación, idioma de la interfaz, enlaces y datos","Sobre o aplicativo, idioma da interface, links e dados","Про додаток, мову інтерфейсу, посилання та дані",アプリケーション、インターフェイス言語、リンク、データについて,"애플리케이션, 인터페이스 언어, 링크 및 데이터 정보",關於應用程式、介面語言、連結和數據,حول التطبيق ولغة الواجهة والروابط والبيانات,"Over de applicatie, interfacetaal, links en gegevens","Tentang aplikasi, bahasa antarmuka, tautan, dan data","एप्लिकेशन, इंटरफ़ेस भाषा, लिंक और डेटा के बारे में","Uygulama, arayüz dili, bağlantılar ve veriler hakkında",关于应用程序、界面语言、链接和数据,เกี่ยวกับแอปพลิเคชัน ภาษาอินเทอร์เฟซ ลิงก์ และข้อมูล,"Về ứng dụng, ngôn ngữ giao diện, liên kết và dữ liệu","O aplikacji, języku interfejsu, linkach i danych"
Язык интерфейса,Язык интерфейса,Interface language,Langue de l'interface,Linguaggio dell'interfaccia,Schnittstellensprache,Idioma de la interfaz,Idioma da interface,Мова інтерфейсу,インターフェース言語,인터페이스 언어,介面語言,لغة الواجهة,Interfacetaal,Bahasa antarmuka,इंटरफ़ेस भाषा,Arayüz dili,界面语言,ภาษาอินเทอร์เฟซ,Ngôn ngữ giao diện,Język interfejsu
Сообщения оверлея и уведомление — на языке системы Android.,Сообщения оверлея и уведомление — на языке системы Android.,Overlay messages and the notification follow the Android system language.,Les messages superposés et les notifications sont dans la langue du système Android.,I messaggi e le notifiche in sovrimpressione sono nella lingua del sistema Android.,Overlay-Nachrichten und Benachrichtigungen erfolgen in der Android-Systemsprache.,Los mensajes superpuestos y las notificaciones están en el idioma del sistema Android.,As mensagens e notificações de sobreposição estão no idioma do sistema Android.,Повідомлення оверлея та сповіщення — мовою системи Android.,オーバーレイ メッセージと通知は Android システム言語で表示されます。,오버레이 메시지와 알림은 Android 시스템 언어로 되어 있습니다.,疊加訊息和通知採用 Android 系統語言。,تكون الرسائل والإشعارات المتراكبة بلغة نظام Android.,Overlay-berichten en meldingen zijn in de Android-systeemtaal.,Pesan dan notifikasi overlay menggunakan bahasa sistem Android.,ओवरले संदेश और अधिसूचना एंड्रॉइड सिस्टम भाषा में हैं।,Yer paylaşımı mesajları ve bildirimleri Android sistem dilindedir.,叠加消息和通知采用 Android 系统语言。,ข้อความซ้อนทับและการแจ้งเตือนเป็นภาษาของระบบ Android,Tin nhắn và thông báo lớp phủ bằng ngôn ngữ hệ thống Android.,Wiadomości nakładki i powiadomienia są w języku systemu Android.
Тема,Тема,Theme,Sujet,Oggetto,Betreff,Asunto,Assunto,Тема,件名,주제,主題,الموضوع,Onderwerp,Subyek,विषय,Konu,主题,เรื่อง,Chủ đề,Temat
Светлая,Светлая,Light,Lumière,Luce,Licht,Luz,Luz,Світла,ライト,빛,光,ضوء,Licht,Ringan,रोशनी,Işık,光,เบา,Ánh sáng,Światło
Тёмная,Тёмная,Dark,Sombre,Buio,Dunkel,oscuro,Escuro,Темна,暗い,어둠,黑暗,الظلام,Donker,Gelap,अंधेरा,Karanlık,黑暗,มืด,Tối,Ciemny
Ссылки,Ссылки,Links,Liens,Collegamenti,Links,Enlaces,Ligações,Посилання,リンク,링크,友情連結,روابط,Koppelingen,Tautan,कड़ियाँ,Bağlantılar,友情链接,ลิงค์,Liên kết,Linki
Политика конфиденциальности,Политика конфиденциальности,Privacy policy,Politique de confidentialité,Informativa sulla privacy,Datenschutzrichtlinie,Política de privacidad,Política de Privacidade,Політика конфіденційності,プライバシーポリシー,개인 정보 보호 정책,隱私權政策,سياسة الخصوصية,Privacybeleid,Kebijakan Privasi,गोपनीयता नीति,Gizlilik Politikası,隐私政策,นโยบายความเป็นส่วนตัว,Chính sách bảo mật,Polityka prywatności
